,author_name,book_name,book_category,book_language,number_of_pages,publisher,book_size
0,  هنداوي, مجموع الفتاوى جزء 5 ,   اسلامية,Arabic,607,  الملك فهد,8.8
1,آ.ه.فراتسلاف, شجرة الليمون ,  الثقافة العامة,Arabic,200, كلمة,2
2,آ.ه.فراتسلاف, الثعلبة العرجاء ,  الثقافة العامة,Arabic,192, كلمة,2
3,آدم جيه سيلفرستاين, التاريخ الاسلامي ,   التاريخ  التاريخ الإسلامي,Arabic,144,  هنداوي,10.3
4,آرثر كونان دويل,قصة الخطر ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,36,  هنداوي ,8.30
5,آرثر كونان دويل,قصة مغامرة كوبر بيتشيز ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,357,  هنداوي ,32
6,آرثر كونان دويل,قصة مغامرة شوسكوم أولد بليس ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,354,  هنداوي ,26
7,آرثر كونان دويل,قصة مغامرة النبيل الأعزب ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,353,  هنداوي ,28
8,آرثر كونان دويل,قصة لغز وادي بوسكومب ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,357,  هنداوي ,32
9,آرثر كونان دويل,قصة مغامرة الجوهرة الزرقاء ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,355,  هنداوي ,28
10,آرثر كونان دويل,قصة بذور البرتقال الخمس ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,352,  هنداوي ,26
11,آرثر كونان دويل,قصة المغامرة الأخيرة ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,355,  هنداوي ,26
12,آرثر كونان دويل,قصة مغامرة تشارلز أوجستس ميلفيرتون ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,355,  هنداوي ,24
13,آرثر كونان دويل,قصة مغامرة الرجال الراقصين ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,412,  هنداوي ,32
14,آرثر كونان دويل,قصة مغامرة العصابة الرقطاء ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,32,  هنداوي ,3.55
15,آرثر كونان دويل,قصة مغامرة منزل آبي جرينج ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,30,  هنداوي ,3.54
16,آرثر كونان دويل,قصة مغامرة المنزل ذي الأسقفِ المُحدَّبة الثلاثة ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,26,  هنداوي ,3.54
17,آرثر كونان دويل,قصة مغامرة جوهرة مازارين ,   الأدب العالمي المترجم  القصص القصيرة المترجمة,Arabic,26,  هنداوي ,3.53
