,author_name,book_name,book_link,book_category
0,Andy Harris, HTML5 and CSS3,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/12/HTML5andCSS3All-in-one.pdf,   تعليم برمجة
1,David Graeber, مجموع الفتاوى جزء 5 ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2021/07/mfsiaitm05.pdf,   اسلامية
2,David Graeber,bullshit jobs ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/12/david-graeber-bullshit-jobs-1.pdf,   التنمية الذاتية
4,David H. Weiss, صفقات وشيكة ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2021/08/D8B5D981D982D8A7D8AAD988D8B4D98AD983D8A9.pdf,   إدارة الأعمال
5,duckett, HTML and CSS 1st Edition,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/12/duckett.pdf,   تعليم برمجة
6,Steven Pinker, The Better Angels of Our Nature” ”,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/06/StevenPinker-TheBetterAngelsofOurNature_WhyViolenceHasDeclined-PenguinBooks28201229.pdf,   انجليزية
7,آ.ج.غلينسكي, الاميرة ميراندا والامير هيرو ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2021/05/11.pdf,  الثقافة العامة
8,آ.ه.فراتسلاف, شجرة الليمون ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2021/06/49.pdf,  الثقافة العامة
9,آ.ه.فراتسلاف, سيدة الغابة ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2021/06/44.pdf,  الثقافة العامة
10,آ.ه.فراتسلاف, الثعلبة العرجاء ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2021/05/14.pdf,  الثقافة العامة
11,آدم جيه سيلفرستاين, التاريخ الاسلامي ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2021/08/D8A7D984D8AAD8A7D8B1D98AD8AED8A7D984D8A5D8B3D984D8A7D985D98A.pdf,   التاريخ  التاريخ الإسلامي
12,آرثر كونان دويل, قصة فضيحة في بوهيميا ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D981D8B6D98AD8ADD8A9D981D98AD8A8D988D987D98AD985D98AD8A7.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
13,آرثر كونان دويل,قصة الخطر ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D8A7D984D8AED8B7D8B1.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
14,آرثر كونان دويل,قصة مغامرة كوبر بيتشيز ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D983D988D8A8D8B1D8A8D98AD8AAD8B4D98AD8B2.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
15,آرثر كونان دويل,قصة مغامرة شوسكوم أولد بليس ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8B4D988D8B3D983D988D985D8A3D988D984D8AFD8A8D984D98AD8B3.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
16,آرثر كونان دويل,قصة مغامرة النبيل الأعزب ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8A7D984D986D8A8D98AD984D8A7D984D8A3D8B9D8B2D8A8.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
17,آرثر كونان دويل,قصة لغز وادي بوسكومب ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D984D8BAD8B2D988D8A7D8AFD98AD8A8D988D8B3D983D988D985D8A8.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
18,0,0,0,0
20,آرثر كونان دويل,قصة مغامرة الجوهرة الزرقاء ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D985D8BAD8A7D985D8B1D8A9D8A7D984D8ACD988D987D8B1D8A9D8A7D984D8B2D8B1D982D8A7D8A1.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
21,آرثر كونان دويل,قصة بذور البرتقال الخمس ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D8A8D8B0D988D8B1D8A7D984D8A8D8B1D8AAD982D8A7D984D8A7D984D8AED985D8B3.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
22,آرثر كونان دويل,قصة المغامرة الأخيرة ,https://www.arab-books.com/wp-content/plugins/pdf-viewer/stable/web/viewer.html?file=https://www.arab-books.com/wp-content/uploads/2020/05/D982D8B5D8A9D8A7D984D985D8BAD8A7D985D8B1D8A9D8A7D984D8A3D8AED98AD8B1D8A9.pdf,   الأدب العالمي المترجم  القصص القصيرة المترجمة
